_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
283835,4155561,2017,NA,1962,TCHC,20,Scarborough Southwest,1 FIRVALLEY CRT,12,115,2022-03-04,71,Evaluation needs to be conducted in 2 years,18,3,3,5,3,3,4,3,4,4,N/A,3,4,5,2,3,4,3,4,4,N/A,E2028,43.7029523574,-79.2810286285,322432.948,4840133.711
283836,4152739,2017,NA,1960,PRIVATE,24,Scarborough-Guildwood,3210 LAWRENCE AVE E,6,48,2022-03-02,80,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,N/A,4,4,N/A,4,3,5,4,3,4,4,5,4,N/A,E2424,43.756840819,-79.241965176,325562.476,4846130.432
283837,5033221,NA,NA,1890,PRIVATE,11,University-Rosedale,51 MADISON AVE,3,13,2022-01-20,68,Evaluation needs to be conducted in 2 years,15,3,3,5,3,3,3,N/A,3,N/A,N/A,3,3,5,3,4,4,3,3,N/A,N/A,S1127,43.6698858155,-79.4035334052,312563.635,4836441.465
283838,4154095,2017,2021,1959,PRIVATE,14,Toronto-Danforth,190 COSBURN AVE,6,47,2021-12-31,78,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,N/A,3,4,4,4,4,5,3,4,4,3,4,3,N/A,S1422,43.6904180968,-79.3451955874,317263.914,4838729.63
283839,4153637,2017,2021,1990,SOCIAL HOUSING,14,Toronto-Danforth,1480 QUEEN ST E,4,25,2021-12-31,80,Evaluation needs to be conducted in 2 years,15,4,4,5,3,4,4,N/A,4,N/A,N/A,3,4,5,4,4,4,N/A,4,N/A,4,S1439,43.6655838194,-79.3210240096,319218.389,4835974.545
283840,4154108,2017,2021,1960,PRIVATE,14,Toronto-Danforth,15 BATER AVE,3,34,2021-12-31,75,Evaluation needs to be conducted in 2 years,15,3,4,5,3,3,3,N/A,4,N/A,N/A,3,4,5,3,4,4,N/A,4,4,N/A,S1421,43.6867361824,-79.3548678509,316484.95,4838319.22
283841,4154110,2018,2021,1927,PRIVATE,14,Toronto-Danforth,12 BATER AVE,4,50,2021-12-31,75,Evaluation needs to be conducted in 2 years,17,5,5,5,3,4,3,N/A,3,N/A,4,2,3,5,4,3,4,5,3,3,N/A,S1421,43.6870714875,-79.3548247563,316488.358,4838356.478
283842,4154134,2017,2021,1965,PRIVATE,14,Toronto-Danforth,100 GAMBLE AVE,12,152,2021-12-31,60,Evaluation needs to be conducted in 1 year,18,3,3,4,2,3,3,3,2,3,N/A,2,3,3,3,3,3,4,3,4,N/A,S1421,43.6904194773,-79.350649972,316824.231,4838729.001
283843,4154101,2017,2021,1962,PRIVATE,14,Toronto-Danforth,150 COSBURN AVE,12,153,2021-12-31,79,Evaluation needs to be conducted in 2 years,18,4,4,5,4,3,4,4,3,4,N/A,4,4,5,4,4,4,4,4,3,N/A,S1422,43.6902830528,-79.3461159995,317189.748,4838714.494
283844,4154102,2017,2021,1956,PRIVATE,14,Toronto-Danforth,130 COSBURN AVE,6,48,2021-12-31,79,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,4,N/A,4,4,N/A,4,4,5,3,4,3,5,4,3,N/A,S1422,43.689964772,-79.3476769455,317063.986,4838678.909
283845,4154090,2017,2021,1950,PRIVATE,14,Toronto-Danforth,165 COSBURN AVE,6,83,2021-12-31,69,Evaluation needs to be conducted in 2 years,17,5,4,5,3,3,3,N/A,4,3,N/A,4,5,5,2,2,3,2,3,3,N/A,S1422,43.6897704258,-79.345544715,317235.905,4838657.626
283846,4154091,2017,2021,1965,PRIVATE,14,Toronto-Danforth,175 COSBURN AVE,4,30,2021-12-31,74,Evaluation needs to be conducted in 2 years,16,4,4,5,3,4,3,N/A,3,N/A,N/A,3,5,5,3,3,4,4,3,3,N/A,S1422,43.6899589515,-79.3450906815,317272.466,4838678.636
283847,4152779,2017,2021,1968,PRIVATE,20,Scarborough Southwest,3207 KINGSTON RD,5,53,2021-12-30,73,Evaluation needs to be conducted in 2 years,18,3,4,5,4,3,4,3,3,4,N/A,3,3,5,3,4,4,3,4,4,N/A,E2037,43.7293849818,-79.2268912004,326786.54,4843083.157
283848,4152790,2017,2021,1960,PRIVATE,20,Scarborough Southwest,3131 EGLINTON AVE E,7,82,2021-12-30,72,Evaluation needs to be conducted in 2 years,17,4,4,4,3,3,4,N/A,3,4,N/A,3,4,5,3,3,4,4,4,2,N/A,E2027,43.7417156898,-79.2228457117,327107.906,4844454.096
283849,4152781,2017,2021,1964,PRIVATE,20,Scarborough Southwest,131 MINERVA AVE,6,83,2021-12-30,84,Evaluation needs to be conducted in 2 years,18,4,5,5,4,3,5,3,4,4,N/A,4,4,5,4,4,5,4,4,5,N/A,E2032,43.7220603014,-79.2433036928,325466.841,4842265.24
283850,4152780,2017,2021,1964,PRIVATE,20,Scarborough Southwest,121 MINERVA AVE,6,90,2021-12-30,87,Evaluation needs to be conducted in 3 years,18,4,4,5,5,4,5,4,3,4,N/A,4,5,5,4,4,4,4,5,5,N/A,E2032,43.7218512738,-79.2442216236,325392.954,4842241.788
283851,4152791,2017,2021,1969,PRIVATE,20,Scarborough Southwest,3161 EGLINTON AVE E,12,166,2021-12-30,67,Evaluation needs to be conducted in 2 years,18,3,4,5,3,2,4,2,3,3,N/A,3,3,5,2,3,4,3,4,4,N/A,E2027,43.7418275772,-79.221378358,327226.052,4844466.914
283852,4152784,2017,2021,1967,PRIVATE,20,Scarborough Southwest,40 PARKCREST DR,12,100,2021-12-29,80,Evaluation needs to be conducted in 2 years,18,4,5,5,3,3,4,4,4,4,N/A,3,4,5,4,4,4,4,4,4,N/A,E2027,43.7353054239,-79.2199852938,327340.686,4843742.709
283853,4153625,2017,2021,1996,SOCIAL HOUSING,14,Toronto-Danforth,54 MARIGOLD AVE,4,29,2021-12-28,81,Evaluation needs to be conducted in 2 years,20,4,4,5,5,3,5,3,4,4,3,4,5,5,4,4,4,3,4,4,4,S1441,43.6619961657,-79.3310761018,318408.525,4835574.305
283854,4154118,2017,2021,1968,PRIVATE,14,Toronto-Danforth,80 GOWAN AVE,11,88,2021-12-28,90,Evaluation needs to be conducted in 3 years,18,5,5,5,3,4,5,4,4,4,N/A,5,5,5,4,5,5,5,4,4,N/A,S1421,43.6881568082,-79.351627018,316745.93,4838477.495
283855,4155564,2017,2021,1970,TCHC,20,Scarborough Southwest,3479 ST CLAIR AVE E,8,94,2021-12-28,58,Evaluation needs to be conducted in 1 year,18,3,3,4,2,2,3,1,2,2,N/A,3,2,2,3,4,4,4,4,N/A,4,E2030,43.7142950675,-79.2692166242,323381.434,4841396.427
283856,4154119,2017,2021,1966,PRIVATE,14,Toronto-Danforth,100 GOWAN AVE,17,121,2021-12-28,87,Evaluation needs to be conducted in 3 years,18,5,5,5,2,4,3,4,4,4,N/A,5,5,5,4,5,5,5,4,4,N/A,S1421,43.6883007663,-79.3508994916,316804.549,4838493.588
283857,4156036,2017,2021,1996,SOCIAL HOUSING,14,Toronto-Danforth,17 RENWICK CRES,4,80,2021-12-24,66,Evaluation needs to be conducted in 2 years,16,2,4,5,1,3,2,N/A,5,N/A,4,2,4,3,4,3,4,4,3,N/A,N/A,S1441,43.66049693,-79.336536519,317958.359,4835419.239
283858,4153621,2017,2021,1995,SOCIAL HOUSING,14,Toronto-Danforth,137 SEARS ST,3,17,2021-12-24,80,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,N/A,3,N/A,N/A,4,4,5,4,3,4,4,4,4,4,S1442,43.663039249,-79.32501186,318897.114,4835692.138
283859,4154124,2017,2021,1955,PRIVATE,14,Toronto-Danforth,65 GAMBLE AVE,6,48,2021-12-24,84,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,N/A,4,4,4,4,5,5,5,4,4,5,4,3,N/A,S1421,43.689657175,-79.3516154158,316746.563,4838644.181
283860,4153620,2017,2021,1989,SOCIAL HOUSING,14,Toronto-Danforth,970 EASTERN AVE,4,14,2021-12-24,69,Evaluation needs to be conducted in 2 years,16,3,4,5,2,3,3,N/A,3,N/A,N/A,3,3,5,3,3,3,4,4,N/A,4,S1442,43.6636837516,-79.3210818522,319214.185,4835763.44
283861,4154123,2017,2021,1960,PRIVATE,14,Toronto-Danforth,51 GAMBLE AVE,6,49,2021-12-24,78,Evaluation needs to be conducted in 2 years,17,4,5,5,3,4,4,N/A,3,3,N/A,3,4,5,3,4,4,5,4,3,N/A,S1421,43.6895687051,-79.3520550359,316711.144,4838634.294
283862,4153608,2017,2021,1972,TCHC,14,Toronto-Danforth,717 BROADVIEW AVE,8,69,2021-12-24,94,Evaluation needs to be conducted in 3 years,18,5,5,5,5,5,5,5,4,5,N/A,4,5,5,5,5,4,N/A,5,4,4,S1428,43.6751635121,-79.3574685355,316277.466,4837033.163
283863,4153626,2017,2021,1995,TCHC,14,Toronto-Danforth,1167 QUEEN ST E,5,40,2021-12-24,77,Evaluation needs to be conducted in 2 years,18,4,4,5,4,3,4,2,4,3,N/A,3,5,5,3,4,4,4,4,4,N/A,S1441,43.6624909475,-79.3328836483,318262.632,4835628.983
283864,4153605,2017,2021,1931,PRIVATE,14,Toronto-Danforth,9 TENNIS CRES,4,54,2021-12-24,85,Evaluation needs to be conducted in 2 years,15,4,5,5,4,3,4,N/A,4,N/A,4,4,4,5,5,5,4,N/A,4,N/A,N/A,S1428,43.6726051315,-79.3542475992,316537.683,4836749.389
283865,4153632,2017,2021,1993,TCHC,14,Toronto-Danforth,29 LOUVAIN AVE,4,51,2021-12-24,71,Evaluation needs to be conducted in 2 years,17,4,4,5,2,4,2,3,2,4,N/A,3,3,5,4,3,4,4,4,N/A,N/A,S1435,43.6625439374,-79.3369204531,317937.063,4835634.227
283866,4240826,2017,2021,1968,PRIVATE,13,Toronto Centre,240 WELLESLEY ST E,29,554,2021-12-23,71,Evaluation needs to be conducted in 2 years,18,4,3,5,2,3,4,4,4,4,N/A,3,3,5,2,4,4,4,3,3,N/A,S1323,43.6680679061,-79.3717553706,315147.721,4836236.53
283867,4269424,2017,2021,1950,SOCIAL HOUSING,14,Toronto-Danforth,793 GERRARD ST E,5,28,2021-12-23,0,Building Audit,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1434,43.6667648172,-79.3456335069,317233.48,4836101.799
283868,4270534,2017,2021,1981,PRIVATE,02,Etobicoke Centre,105 CLEMENT RD,7,195,2021-12-23,91,Evaluation needs to be conducted in 3 years,16,4,5,5,4,5,5,N/A,5,4,N/A,4,5,5,4,5,4,N/A,4,N/A,5,W0221,43.680522919,-79.55416175,300417.27,4837621.239
283869,4152596,2017,2021,1964,TCHC,20,Scarborough Southwest,682 WARDEN AVE,15,223,2021-12-23,60,Evaluation needs to be conducted in 1 year,19,2,4,5,3,3,3,2,4,2,N/A,2,3,3,3,2,3,3,3,4,3,E2028,43.705953312,-79.279044598,322591.704,4840468.483
283870,4153633,2017,2021,1993,SOCIAL HOUSING,14,Toronto-Danforth,1070 QUEEN ST E,5,177,2021-12-23,86,Evaluation needs to be conducted in 3 years,18,4,5,5,4,4,4,4,3,4,N/A,4,5,5,4,4,4,5,5,4,N/A,S1435,43.6620660934,-79.3367847076,317948.115,4835581.161
283871,4155483,2017,2021,1950,PRIVATE,03,Etobicoke-Lakeshore,26 ALBERT AVE,3,23,2021-12-21,84,Evaluation needs to be conducted in 2 years,14,5,4,5,5,5,4,N/A,4,N/A,N/A,4,4,5,3,4,4,N/A,3,N/A,N/A,W0336,43.6162416017,-79.4892718985,305650.222,4830477.596
283872,4154616,2017,2021,1993,TCHC,06,York Centre,750 WILSON HEIGHTS BLVD,4,79,2021-12-20,86,Evaluation needs to be conducted in 3 years,18,4,4,5,4,4,4,3,5,4,N/A,4,3,5,5,4,5,N/A,5,4,5,N0624,43.7599025231,-79.4643820727,307652.61,4846438.066
283873,4152578,2017,2021,1964,PRIVATE,20,Scarborough Southwest,2 NORTH DR,4,65,2021-12-20,78,Evaluation needs to be conducted in 2 years,17,4,3,5,4,4,3,N/A,4,4,N/A,4,4,5,3,4,4,4,3,4,N/A,E2033,43.6861001378,-79.2821331164,322348.881,4838261.291
283874,4155806,2017,2021,1950,PRIVATE,20,Scarborough Southwest,1641 KINGSTON RD,3,11,2021-12-20,0,Building Audit,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E2034,43.690864521,-79.265477585,323718.011,4838812.556
283875,4155805,2017,2021,1950,PRIVATE,20,Scarborough Southwest,1633 KINGSTON RD,3,10,2021-12-20,0,Building Audit,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E2034,43.690864521,-79.265477585,323718.011,4838812.556
283876,4327367,2018,2021,1949,PRIVATE,06,York Centre,12 ROSSEAU RD,3,11,2021-12-20,76,Evaluation needs to be conducted in 2 years,15,3,3,4,3,4,4,N/A,2,N/A,N/A,4,5,5,5,3,4,N/A,5,3,N/A,N0629,43.742014423,-79.4373039157,309843.087,4844439.041
283877,4152560,2017,2021,1970,PRIVATE,20,Scarborough Southwest,2440 QUEEN ST E,6,24,2021-12-20,82,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,4,3,4,N/A,4,5,5,4,4,4,4,4,4,N/A,E2033,43.6751742383,-79.2785094053,322644.203,4837048.226
283878,4152677,2017,2021,1992,SOCIAL HOUSING,20,Scarborough Southwest,835-841 BIRCHMOUNT RD,6,102,2021-12-20,78,Evaluation needs to be conducted in 2 years,20,4,4,5,4,4,4,3,3,4,4,3,4,5,4,4,4,3,4,4,4,E2023,43.7294157081,-79.2774083068,322716.837,4843074.44
283879,4156035,2017,2021,1940,PRIVATE,20,Scarborough Southwest,1463 KINGSTON RD,3,14,2021-12-20,0,Building Audit,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E2034,43.687961104,-79.269766888,323354.611,4838512.321
283880,4156379,2017,2021,1940,PRIVATE,20,Scarborough Southwest,1449 KINGSTON RD,3,14,2021-12-20,0,Building Audit,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E2034,43.687794468,-79.270325262,323298.758,4838460.592
283881,4167691,2017,2021,1960,PRIVATE,06,York Centre,2956 KEELE ST,3,11,2021-12-20,73,Evaluation needs to be conducted in 2 years,16,3,3,3,3,3,4,N/A,5,N/A,N/A,3,2,5,4,4,4,4,4,4,N/A,N0627,43.735513832,-79.484593132,306025.356,4843729.057
283882,4152573,2017,2021,1971,PRIVATE,20,Scarborough Southwest,1140 KINGSTON RD,5,34,2021-12-20,76,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,3,3,3,4,N/A,4,4,5,3,4,4,4,3,3,N/A,E2033,43.681735253,-79.281298195,322417.201,4837777.498
283883,4156385,2017,2021,1940,PRIVATE,20,Scarborough Southwest,1481 KINGSTON RD,3,15,2021-12-20,0,Building Audit,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E2034,43.688423918,-79.269500963,323393.784,4838549.187
283884,4152619,2017,2021,1956,PRIVATE,20,Scarborough Southwest,23 ENGELHART CRES,3,11,2021-12-20,80,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,4,N/A,4,N/A,3,4,4,5,4,4,4,4,4,4,N/A,E2021,43.7223884038,-79.2991027155,320971.04,4842289.348
283885,4152618,2017,2021,1956,PRIVATE,20,Scarborough Southwest,19 ENGELHART CRES,3,11,2021-12-20,78,Evaluation needs to be conducted in 2 years,16,4,4,4,4,3,4,N/A,3,N/A,3,4,4,5,4,4,4,N/A,4,4,N/A,E2021,43.7221830841,-79.2995646388,320933.879,4842266.448
283886,4152666,2020,2021,1958,PRIVATE,20,Scarborough Southwest,115 FOXRIDGE DR,3,10,2021-12-20,69,Evaluation needs to be conducted in 2 years,15,3,3,5,3,3,4,N/A,3,N/A,N/A,3,4,5,3,3,3,N/A,4,3,N/A,E2023,43.7234871181,-79.2660288594,323635.43,4842418.318
283887,4154643,2017,2021,1964,PRIVATE,06,York Centre,3 GOLDFINCH CRT,15,172,2021-12-20,74,Evaluation needs to be conducted in 2 years,19,5,4,4,4,3,5,4,3,4,3,4,4,5,4,3,3,4,2,2,N/A,N0624,43.7710438597,-79.4492292912,308871.972,4847676.448
283888,4154699,2017,2021,1959,PRIVATE,06,York Centre,35 CANYON AVE,21,237,2021-12-17,84,Evaluation needs to be conducted in 2 years,18,4,4,5,4,5,5,5,3,5,N/A,3,5,5,4,4,4,4,4,3,N/A,N0624,43.7579977095,-79.4369177756,309864.198,4846227.739
283889,4154628,2017,2021,1965,PRIVATE,06,York Centre,18 CEDARCROFT BLVD,12,117,2021-12-17,83,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,5,4,3,5,N/A,4,4,5,4,4,4,4,4,4,N/A,N0622,43.7839479718,-79.4474754127,309012.262,4849110.129
283890,4154694,2017,2021,1961,PRIVATE,06,York Centre,569 SHEPPARD AVE W,13,144,2021-12-17,88,Evaluation needs to be conducted in 3 years,18,4,5,5,5,4,5,5,3,4,N/A,5,5,5,4,4,5,3,4,4,N/A,N0630,43.7553047616,-79.436948304,309861.967,4845928.563
283891,4154632,2017,2021,1964,PRIVATE,06,York Centre,12 ROCKFORD RD,13,128,2021-12-17,98,Evaluation needs to be conducted in 3 years,18,5,5,5,5,5,5,5,5,5,N/A,4,5,5,5,5,5,5,5,4,N/A,N0622,43.7860767435,-79.447735502,308991.179,4849346.616
283892,4154626,2017,2021,1965,PRIVATE,06,York Centre,15 ROCKFORD RD,12,117,2021-12-17,81,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,5,3,3,3,N/A,4,5,5,4,4,5,4,3,4,N/A,N0622,43.7849660772,-79.4478362845,308983.144,4849223.218
283893,4155224,2017,2021,1965,PRIVATE,03,Etobicoke-Lakeshore,800 ROYAL YORK RD,6,60,2021-12-17,73,Evaluation needs to be conducted in 2 years,17,4,4,4,3,5,3,N/A,4,4,2,3,4,5,3,4,4,4,2,N/A,N/A,W0325,43.638794444,-79.508763602,304076.947,4832984.053
283894,4167687,2017,2021,1948,TCHC,13,Toronto Centre,260 SUMACH ST,3,48,2021-12-16,66,Evaluation needs to be conducted in 2 years,16,2,4,5,2,2,3,N/A,3,N/A,N/A,2,3,5,3,4,4,3,4,4,N/A,S1330,43.66223715,-79.361553726,315950.172,4835597.5
283895,4154130,2017,2021,1965,PRIVATE,14,Toronto-Danforth,50 COSBURN AVE,12,173,2021-12-15,82,Evaluation needs to be conducted in 2 years,19,5,5,5,3,4,4,4,5,3,4,4,5,5,2,4,4,5,4,3,N/A,S1421,43.6891373921,-79.3519022582,316723.546,4838586.397
283896,4152613,2017,2021,1960,PRIVATE,20,Scarborough Southwest,540 BIRCHMOUNT RD,4,27,2021-12-15,73,Evaluation needs to be conducted in 2 years,16,3,4,5,4,3,4,N/A,5,N/A,N/A,3,3,5,3,3,3,3,4,3,N/A,E2029,43.7107990699,-79.2702992344,323295.275,4841007.788
283897,4154111,2017,2021,1962,PRIVATE,14,Toronto-Danforth,25 COSBURN AVE,22,129,2021-12-15,82,Evaluation needs to be conducted in 2 years,18,4,5,5,5,4,5,3,4,5,N/A,4,5,2,4,4,4,4,4,3,N/A,S1421,43.6881435504,-79.3536043403,316586.531,4838475.75
283898,4155217,2017,2021,1960,PRIVATE,03,Etobicoke-Lakeshore,270 SHELDON AVE,6,74,2021-12-15,74,Evaluation needs to be conducted in 2 years,18,4,5,5,3,4,4,N/A,3,3,3,3,4,5,3,4,4,3,3,4,N/A,W0331,43.6092105194,-79.5462107894,301054.105,4829697.381
283899,4303769,2018,2021,1968,PRIVATE,02,Etobicoke Centre,63 CALLOWHILL DR,10,112,2021-12-14,60,Evaluation needs to be conducted in 1 year,19,2,3,4,2,3,3,2,3,3,3,2,3,5,3,4,3,3,3,3,N/A,W0221,NA,NA,299662.554,4837921.687
283900,4155218,2017,2021,1982,SOCIAL HOUSING,03,Etobicoke-Lakeshore,256 SHELDON AVE,7,76,2021-12-14,84,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,5,4,4,5,N/A,4,5,5,4,4,4,N/A,3,4,5,W0331,43.6084801152,-79.5465065872,301030.182,4829616.243
283901,4154596,2017,2021,1960,PRIVATE,06,York Centre,3880 BATHURST ST,4,58,2021-12-13,86,Evaluation needs to be conducted in 3 years,18,3,4,5,4,4,5,N/A,4,4,4,5,5,5,4,4,4,5,4,4,N/A,N0629,43.741815421,-79.4356700472,309966.025,4844430.022
283902,4154595,2017,2021,1960,PRIVATE,06,York Centre,3884 BATHURST ST,4,28,2021-12-13,87,Evaluation needs to be conducted in 3 years,17,4,4,5,4,4,5,N/A,4,N/A,4,5,5,5,4,4,4,5,4,4,N/A,N0629,43.7422578587,-79.4357863772,309956.619,4844479.168
283903,4154624,2017,2021,1979,PRIVATE,06,York Centre,300 ANTIBES DR,21,372,2021-12-13,79,Evaluation needs to be conducted in 2 years,19,5,3,4,4,5,3,3,4,5,N/A,4,4,4,4,4,4,4,4,3,4,N0622,43.7812935158,-79.450030785,308806.743,4848815.09
283904,4152678,2017,2021,1971,PRIVATE,20,Scarborough Southwest,2223 EGLINTON AVE E,6,75,2021-12-13,84,Evaluation needs to be conducted in 2 years,18,4,5,5,3,4,4,3,4,5,N/A,4,5,5,5,4,3,5,4,4,N/A,E2023,43.7296310615,-79.2767123962,322772.838,4843098.516
283905,4153003,2017,2021,1922,PRIVATE,04,Parkdale-High Park,1623 QUEEN ST W,4,42,2021-12-13,72,Evaluation needs to be conducted in 2 years,15,3,4,4,4,4,4,N/A,3,N/A,4,3,3,5,3,4,3,N/A,3,N/A,N/A,S0436,43.6387814414,-79.4452145314,309204.71,4832982.945
283906,4152559,2017,2021,1954,PRIVATE,20,Scarborough Southwest,3000 QUEEN ST E,4,30,2021-12-13,89,Evaluation needs to be conducted in 3 years,16,4,5,5,4,5,5,N/A,4,N/A,5,4,5,5,4,4,4,N/A,5,3,N/A,E2033,43.6753306295,-79.2779449422,322689.673,4837065.722
283907,4152600,2017,2021,1972,PRIVATE,20,Scarborough Southwest,273 PHARMACY AVE,18,280,2021-12-13,88,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,4,4,5,4,4,5,4,4,5,4,4,4,4,N/A,E2028,43.7002480573,-79.2862500131,322012.917,4839832.19
283908,4154580,2017,2021,1962,TCHC,06,York Centre,12 KING HIGH AVE,3,31,2021-12-13,78,Evaluation needs to be conducted in 2 years,16,4,4,4,4,3,3,3,3,N/A,N/A,4,5,5,4,3,4,N/A,5,4,N/A,N0629,43.7362282425,-79.4430990859,309368.074,4843808.919
